Funding Sentences,Funding Sources
"Management); Ben Murphy, Andrew Symes (IP Group),
Christopher Kaminker (Lombard Odier); Elizabeth Watson,
James Smith-Dingler (Modern Energy); Matt Hinde, Terry
McCormick, Joseph Northwood, Nick Saunders, Nicholas
Young (National Grid); Peter Aagaard, Jakob Askou Bøss,
Anders Holst Nymark (Ørsted); Aditi Garg (ReNew Power);
Xavier Chalbot and Jonathan Grant (Rio Tinto); Charlotte
Brookes, Roald Brouwer, Mallika Ishwaran, Nan Liu, Oleksiy
Tatarenko (Royal Dutch Shell); Emmanuel Normant (Saint
Gobain); Sandrine de Guio, Emmanuel Laguarrigue, Vincent
Minier, Vincent Petit (Schneider Electric); Brian Dean
(SE4All); Matteo Mazzoni, Claudio Montanari, Camilla
Palladino, Xavier Lorenzo Rousseau (SNAM); Jesper
Kansbod and Martin Pei (SSAB); Alistair McGirr (SSE) Jan
Braten, Kristian Marstrand Pladsen (Statnett); Brian Dean
(Sustainable Energy For All); Abhishek Goyal (Tata Group);
Madhulika Sharma (Tata Steel); Reid Detchon (United
Nations Foundation); Mikael Nordlander (Vattenfall); Johan
Engebratt, Niklas Gustafsson, Staffan Lundgren, Alemar
Reine, Staffan Rödjedal (Volvo Group); Rasmus Valanko
(We Mean Business); Asger Garnak, Karl Hausker, Jennifer
Layke, Tim Searchinger (World Resources Institute), Paul
Ebert, Phil O’Neill, Geeta Thakoral, Frank Wouters (Worley)

The team would also like to thank the ETC members and
experts for their active participation:
Rajit Nanda (ACWA Power); Christoph Beckmann, Elke
Pfeiffer (Allianz); Javier Bonaplata, Nicola Davidson
(ArcelorMittal); Abyd Karmali (Bank of America); Rod
Davies, Doris Fuji, Nicholas Lawson, Ian Luciani, William
Zimmern (BP); Jeanne Ng (CLP); Cameron Butler, Rob Kelly,
Ro Maxwell, Wei Sue (Climateworks Australia); Dana Barsky
(Credit Suisse); Bin Lyu (Development Research Center
of the State Council); Rebecca Heaton (DRAX); Cristian
Carraretto, Adil Hanif, Eric Rasmussen (EBRD); Dries Acke,
Rebecca Collyer, Pete Harrison, Phillip Niessen (European
Climate Foundation); Patrick Curran (Grantham Institute,
London School of Economics); Matt Gorman (Heathrow
Airport); Andrea Griffin (HSBC); Francisco Laveran,
Samuel Perez (Iberdrola); Chris Dodwell (Impax Asset

The team would also like to thank the ETC’s broader
network of experts for their input:
Gniewomir Flies (Agora Energiewende); Kieran Coleman,
Karl Zammit-Maempel (Climate Champions); Jenny
Hayward (CSIRO); Ivan Pozgaj, Ivana Jemelkova, Anais
Laporte, Daryl Wilson (Hydrogen Council); Peter Levi (IEA);
Herib Blanco, Dolf Gielen (IRENA); Sam French (Johnson
Matthey); Clemens Kienzler, Agata Mucha (McKinsey);
Jon Andre Locke (Nel); Kash Burchett, Ben Dixon, Rafal
Malinowski, Sanna O’Connor-Morberg, Eveline Speelman
(SYSTEMIQ); Thomas Brown (Technische Universität
Berlin); Tristan Kretschmer (Thyssenkrupp); Taylor Uekert
(University of Cambridge); Johannes Hampp (Universität
Giessen); Noam Boussidan (World Economic Forum);
Sammy Van den Broeck, Jacobus de Letter, Rob Stevens
(Yara)

28

Making the Hydrogen Economy Possible – Accelerating Clean Hydrogen in an Electrified Economy

Making the Hydrogen Economy Possible – Accelerating Clean Hydrogen in an Electrified Economy

29

The Making Mission Possible Series

Making the
Hydrogen Economy
Possible:
Accelerating Clean Hydrogen in an Electrified Economy
April 2021
Version 1","['IP Group', 'Modern Energy', 'Nicholas\r\nYoung', 'Jakob Askou Bøss', 'Royal Dutch Shell', 'Camilla\r\nPalladino', 'SNAM', 'Jesper\r\nKansbod', 'SSAB', 'SSE', 'Kristian Marstrand Pladsen', 'Abhishek Goyal', 'Tata Group', 'Tata Steel', 'Volvo Group', 'World Resources Institute', 'ETC', 'Allianz', 'ArcelorMittal', 'Abyd Karmali (Bank of America', 'Rod\r\nDavies', 'BP', 'Climateworks Australia', 'Credit Suisse', 'the State Council', 'DRAX', 'EBRD', 'European\r\nClimate Foundation', 'Grantham Institute', 'London School of Economics', 'Iberdrola', 'Impax Asset', 'ETC', 'Agora Energiewende', 'Hydrogen Council', 'Technische Universität', 'Thyssenkrupp', 'University of Cambridge', 'Johannes Hampp', 'Universität\r\nGiessen', 'Jacobus de Letter', 'Yara', 'the Hydrogen Economy Possible – Accelerating Clean Hydrogen', 'the Hydrogen Economy Possible – Accelerating Clean Hydrogen', 'The Making Mission Possible Series\r\n\r\nMaking']"
"(NB: not enough without (1))

Your idea

• Give real technical “meat”, so an expert

reader could (without reading your
doubtless-excellent papers) have some
idea of what the idea is
• Offer objective evidence that it’s a
promising idea:

• Many, many grant proposals are buzz-

word-compliant, but lack almost all
technical content",['NB']
"• The general standard (of proposals,

not of the underlying research) is low
• So it is not hard to shine
(Although, sadly, that still does not guarantee a grant",[]
Grant et al,[]
"Acknowledgments
This work was partially supported by the German Ministry of
Education and Research (BMBF) through the DeltAdapt project
[grant number FKZ 031A287D]","['the German Ministry of\r\nEducation', 'Research (BMBF', 'DeltAdapt', 'FKZ']"
"Grant, J",[]
"GOLD - Stands for Generalized Ocean Layer Dynamics and is a hybrid coordinate nite volume
ocean model code funded by NOAA and developed by the ocean group at NOAA-GFDL and
Princeton University","['GOLD - Stands for Generalized Ocean Layer Dynamics', 'NOAA', 'NOAA', 'Princeton University']"
"2 – O Novo Norte), under the
National Strategic Reference Framework (NSRF), through the
European Regional Development Fund (ERDF), and by national
funds through Fundação para a Ciência e a Tecnologia (FCT),
Portugal","['European Regional Development Fund', 'ERDF', 'Fundação', 'Ciência e a', 'FCT']"
"Parts of the German contribution to this work have been funded by German Federal Ministry for
Economic Affairs and Energy (BMWi) under Contract No",['German Federal Ministry']
"Parts of the contribution of EURAC Research to this work have been funded by the Südtiroler
Stiftung Sparkasse","['EURAC Research', 'Südtiroler']"
"VAT) till 2025
Investment of 134 million Euros in energy and climate research by 2024
Allocation of 67 million Euros to green transportation in 2020 – 2024 for enhancing
green mobility and transportation
Allocation of 67 million Euros annually from 2021 to 2024 to a market-based grant
pool focused on energy savings ( 40 million Euros for industries and 27 million Euros
for energy savings in buildings)
Further allocation of 54 million Euros annually in 2025 and 67 million Euros annually
after 2026 for boosting the use of renewable energy",['VAT']
"Acknowledgments
This work was supported by the U",[]
"This work was supported in part
by the Automotive Partnership Canada, by the Ontario Research Fund, and by
General Motors Company","['the Automotive Partnership Canada', 'the Ontario Research Fund', 'General Motors Company']"
"Project Objective

This project, which was funded by the DOE’s Vehicle Technologies Office and conducted by
NREL’s Fleet Test and Evaluation group, represents collaboration among NREL, Frito-Lay

1
This report is available at no cost from the National Renewable Energy Laboratory at www","['DOE', 'Vehicle Technologies Office', 'Fleet Test and Evaluation', 'NREL', 'Frito-Lay', 'the National Renewable Energy Laboratory']"
"NREL was funded by the DOE to collect operational data on Smith vehicles deployed across the
country (Figure 2) as part of the ARRA","['DOE', 'Smith']"
"Climate Program Office (reanalysis grant) for funding part
of this project",['Climate Program Office']
"The model
builds on the WRF modeling framework and has been
developed within a project funded by the Department
of Energy (DOE) that seeks improvement in GHI and
DNI forecasts across a range of scales by blending
different forecasting methods into a unified forecast
(Haupt 2013; see sidebar for additional information)","['WRF', 'the Department\r\nof Energy', 'GHI']"
"Synergistic work funded by the Federal Aviation
Administration (FAA) was also leveraged","['the Federal Aviation\r\nAdministration', 'FAA']"
"Ruiz-Arias was funded by a Marie
Curie Action under the Project PIOF-GA-2010-273648
within the Seventh European Community Framework
Programme","['Ruiz-Arias', 'the Seventh European Community Framework']"
"1 Introduction
Markets for electrical energy can function only if they are supported by the infrastructure of a power system",[]
"According to this theory, which is supported by quite sophisticated mathematical
models (see the classical work of Schweppe et al",[]
"For time-invariant linear dynamical systems the
output is obtained as a convolution between the input and the sys-

✩ This research has been partially supported by the European Community under
agreement no","['linear', 'the European Community']"
"257462-HYCON2 Network of
excellence, by the MIUR FIRB project RBFR12M3AC-Learning meets time: a new
computational approach to learning in dynamic systems as well as by the Linnaeus
Center CADICS, funded by the Swedish Research Council, and the ERC advanced
grant LEARN, no","['the Linnaeus\r\nCenter CADICS', 'the Swedish Research Council', 'ERC', 'LEARN']"
"287381, funded by the European Research Council",['the European Research Council']
"A value in the range of 30–120 min is normally used for the collective horizon,
where 30 min (also supported by Meseguer and Quevedo (2017)) or 120 min are the
most common values",[]
This is supported by Fiorelli et al,[]
"Obviously, only control
strategies with similar operational goals can be compared as supported by Borsanyi
et al",[]
"Funding
The literature review was partly supported by the Smart Cities Water Solutions project, which
was funded by Realdania through the Klimaspring program",['the Smart Cities Water Solutions']
"Sewer system real-time
control supported by the M180 guideline document",[]
"Specification of the
HART protocol is based largely on the OSI 7-Layer Communication Model:

Figure 172: HART specifications
The Application Layer defines the commands, responses, data types and status reporting
supported by the Protocol",[]
"Funding: This research was funded by the Norwegian Research Council under the MAROFF-2
project ‘Land-based Operation of Autonomous Ships’ (LOAS) directed by project leader Kongsberg
Maritime AS and partnered with the Institute for Energy Technology (IFE), grant number 296527","['the Norwegian Research Council', 'MAROFF-2', 'Operation of Autonomous Ships', 'the Institute for Energy Technology']"
